brand,nama_produk,harga_coret,harga_diskon,nominal_diskon,jumlah_terjual,e_commerce,country,tipe_kemasan
Wings,Mie Sedaap Rasa Soto,0,3500,0,30,Shopee,Indonesia,Satuan
Wings,Mie sedaap bakso special,0,3500,0,57,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Goreng.,0,3750,0,196,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Goreng,0,3500,0,54,Shopee,Indonesia,Satuan
Wings,SEDAAP MIE KUAH RASA SOTO ISI 5 BUNGKUS X75 GR,0,12890,0,1000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE GORENG ISI 5 BUNGKUS X 90 GR,0,16360,0,1000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Isi 5 Bag 90 gr,0,15800,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Soto Isi 5 Bag 75 gr,0,15000,0,10000,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Soto 75gr isi 5 x 8 pack (1 box),0,112100,0,10000,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr x5,0,15500,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE CUP SINGAPORE SPICY LAKSA 86 GR,0,5340,0,5,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Kari Kental Special Bag 75 gr isi 40 (Kardus),0,120700,0,10000,Shopee,Indonesia,Grosir
Wings,"mie sedaap dengan 12 variant, BELI 1 PCS BISA COD",0,4250,0,1000,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan White Curry Bag 81 gr x5,0,15400,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Ayam Bakar Limau Bag 89 gr x5,0,16300,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Korean Spicy Chicken Bag 87 gr isi 40 (Kardus),0,128200,0,10000,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Soto 75 gr isi 5 + Mie Sedaap Goreng 90 gr isi 5,0,29700,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Ayam Jerit 77 gr x5,0,15400,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Ayam Bakar Limau Bag 89 gr Carton (40 pcs),0,128300,0,55,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Ayam Bawang Bag 71 gr isi 40 (Kardus),0,105600,0,10000,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Ramen Yes Bundling [promo beli 2 gratis 1],0,10500,0,26,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Korean Spicy Soup Bag 77 gr x5,0,15400,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP MIE KOREAN SPICY CHICKEN 87 GR,0,3520,0,428,Shopee,Indonesia,Satuan
Wings,SEDAAP MIE AYAM BAWANG ISI 5,0,14880,0,377,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Ayam Bawang Bag 71 gr x5,0,15500,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Kari Spesial 81 gr Carton (12 pcs),0,52100,0,166,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Cup Kari Mercon 79 gr x3,0,13700,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Singapore Spicy Laksa 83g x5,0,15500,0,10000,Shopee,Indonesia,Bundling
Wings,SEDAAP Mie Korean Spicy 5pcs x 87gr,0,23000,0,164,Shopee,Indonesia,Bundling
Wings,Promo 12 Pcs Mie Ramen Yes Sedaap Varian Kuah/Goreng,0,35000,0,35,Shopee,Indonesia,Bundling
Wings,"Mie Instan Sedaap Soto 5pcs - Kenyal, Gurih, Praktis",0,13500,0,3,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Selection Mie Instan Korean Spicy Chicken 5 x 87 gr,0,16300,0,4000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instant Goreng/Kuah Varian Rasa Lengkap,0,3900,0,10000,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Goreng 90gr isi 5 Triple Pack,0,45400,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr isi 40 (Kardus),0,120700,0,10000,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr Carton (40 pcs),0,120700,0,19,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Goreng Isi 5 Bag 90 gr x3,0,45400,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Ayam Spesial 69 gr Carton (40 pcs),0,120900,0,47,Shopee,Indonesia,Grosir
Wings,Mie Sedaap Mi Goreng Mie Instan 5 x 90 gr (4 pack),0,60300,0,10000,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Ala Chef Bag 93 gr x5,0,16300,0,10000,Shopee,Indonesia,Bundling
Wings,MIE SEDAAP Rasa Soto Pack Isi 5,0,21200,0,235,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Cup Korean Spicy Chicken 81 gr Carton (12 pcs),0,55100,0,133,Shopee,Indonesia,Grosir
Wings,MIE SEDAAP Cheese Buldak 5 Pcs x 89 Gr,0,23000,0,45,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Kuah Instant,0,4500,0,1000,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Ayam Bawang Isi 5 Bag 71 gr,0,14589,0,7,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr isi 40 (Kardus),0,128700,0,0,Shopee,Indonesia,Grosir
Wings,mie sedaap cup goreng 1 dus isi 12 cup,0,59900,0,32,Shopee,Indonesia,Grosir
Wings,SEDAAP MIE SINGAPORE SPICY LAKSA 83 GR,0,3410,0,682,Shopee,Indonesia,Satuan
