brand,nama_produk,harga_coret,harga_diskon,nominal_diskon,jumlah_terjual,e_commerce,country,tipe_kemasan
Indofood,INDOMIE MIE GORENG (NEW) SPECIAL 5x80g,0,15800,0,24,Shopee,Indonesia,Satuan
Indofood,INDOMIE MIE INSTANT HYPE NYEMEK JOGJA RENDANG 84g,0,3200,0,8,Shopee,Indonesia,Satuan
Indofood,Indomie All Variant Paket 3 - 10 Pcs Lebih Hemat,0,12548,0,10000,Shopee,Indonesia,Bundling
Indofood,indomie aneka rasa kuah dan goreng,0,3300,0,96,Shopee,Indonesia,Satuan
Indofood,Indomie All Varian Paketan 3 - 10 Pcs,0,12804,0,10000,Shopee,Indonesia,Bundling
Indofood,INDOMIE MIE GORENG PLUS SPECIAL 80g,0,3200,0,161,Shopee,Indonesia,Satuan
Indofood,Indomie All Variant Original Mie Instan Enak Murah,0,3333,0,43,Shopee,Indonesia,Satuan
Indofood,Indomie Goreng dan Kuah All Varian,0,4655,0,10000,Shopee,Indonesia,Satuan
Indofood,indomie goreng / kuah all varian 1 kardus isi 40 bks,0,114000,0,6,Shopee,Indonesia,Grosir
Indofood,Indomie Mix 4 Rasa 1 Dus Isi 40 Pcs - Paket Campur Goreng Soto Kari Ayam Bawang - Harga Grosir,0,147200,0,235,Shopee,Indonesia,Grosir
Indofood,INDOMIE KUAH SOTO MI 5 IN 1 - 80gr,0,20080,0,347,Shopee,Indonesia,Satuan
Indofood,Indomie Mie Instan Kari Ayam 72 gr Carton,0,140200,0,20,Shopee,Indonesia,Grosir
Indofood,INDOMIE GORENG CABE IJO,0,3700,0,2000,Shopee,Indonesia,Satuan
Indofood,Kw1store - INDOMIE 1 dus isi 40 mie instant varian/mix exp bulan 12 2026,0,152999,0,700,Shopee,Indonesia,Grosir
Indofood,INDOMIE GORENG DAN KUAH MIX / CAMPUR 1 DUS ISI 40 PCS,0,143500,0,19,Shopee,Indonesia,Grosir
Indofood,Indomie Kari Ayam 72 gr /5pcs,0,19500,0,33,Shopee,Indonesia,Bundling
Indofood,ELLULA Shop - INDOMIE 1 DUS ISI 40 BISA CAMPUR,0,129400,0,3000,Shopee,Indonesia,Grosir
Indofood,kw1store - Indomie Goreng dan Kuah 1dus isi 40bks. Jumbo isi 24bks Dijamin Exp. lama dan terbaru,0,125000,0,532,Shopee,Indonesia,Grosir
Indofood,indomie kaldu udang,0,3139,0,10000,Shopee,Indonesia,Satuan
Indofood,INDOMIE MIE KUAH KARI AYAM 72 GR,0,3520,0,7000,Shopee,Indonesia,Satuan
Indofood,Indomie x 40 Pcs Per Karton/ Indomie JUMBO x 24 Pcs Per Karton,0,114600,0,1000,Shopee,Indonesia,Grosir
Indofood,"Mie Instan Indomie Goreng Rasa Aceh - Praktis, Tekstur Kenyal, Kaya Rasa",0,16415,0,1,Shopee,Indonesia,Satuan
Indofood,READY INDOMIE GORENG ISI 40 PCS,0,140000,0,12,Shopee,Indonesia,Grosir
