scrape_date,brand,company,product_name,sku_id,price,final_price,retailer,channel,promo_type,original_price,discount%,promo_text,province,city,pack_size,variant,promo_start,promo_end,sales,market_share
2026-05-29,Wings,Wings Group,Mie Sedaap Rasa Soto,SKU-85593109,3500,3500,Retail Express,Shopee,Regular,3500,0.0,-,DKI Jakarta,Jakarta Timur,Satuan,Soto,2026-05-01,2026-05-31,30,0.001
2026-05-29,Wings,Wings Group,Mie sedaap bakso special,SKU-92A611BA,3500,3500,Mitra Distributor,Shopee,Regular,3500,0.0,-,Banten,Tangerang Selatan,Satuan,Lainnya / Mix,2026-05-01,2026-05-31,57,0.0019
2026-05-29,Wings,Wings Group,Mie Sedaap Goreng.,SKU-1ACAC8E5,3750,3750,Toko Grosir Sembako,Shopee,Regular,3750,0.0,-,Jawa Tengah,Magelang,Satuan,Goreng Spesial,2026-05-01,2026-05-31,196,0.0065
2026-05-29,Wings,Wings Group,Mie Sedaap Goreng,SKU-01E4FF03,3500,3500,Retail Express,Shopee,Regular,3500,0.0,-,Jawa Timur,Sidoarjo,Satuan,Goreng Spesial,2026-05-01,2026-05-31,54,0.0018
2026-05-29,Wings,Wings Group,SEDAAP MIE KUAH RASA SOTO ISI 5 BUNGKUS X75 GR,SKU-4C769E58,12890,12890,Retail Express,Shopee,Bundling Promo,12890,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Pusat,Bundling,Soto,2026-05-01,2026-05-31,1000,0.0333
2026-05-29,Wings,Wings Group,SEDAAP MIE GORENG ISI 5 BUNGKUS X 90 GR,SKU-8621EC75,16360,16360,Mitra Distributor,Shopee,Bundling Promo,16360,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Utara,Bundling,Goreng Spesial,2026-05-01,2026-05-31,1000,0.0333
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Isi 5 Bag 90 gr,SKU-80AD0421,15800,15800,Retail Express,Shopee,Bundling Promo,15800,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Barat,Bundling,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Soto Isi 5 Bag 75 gr,SKU-577806FC,15000,15000,Toko Grosir Sembako,Shopee,Bundling Promo,15000,0.0,Beli Banyak Lebih Murah,Jawa Timur,Malang,Bundling,Soto,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Mie Sedaap Soto 75gr isi 5 x 8 pack (1 box),SKU-6881E7C1,112100,112100,Toko Kelontong Digital,Shopee,Wholesale Promo,112100,0.0,Harga Grosir,DKI Jakarta,Jakarta Selatan,Grosir,Soto,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr x5,SKU-F7F42436,15500,15500,Toko Grosir Sembako,Shopee,Bundling Promo,15500,0.0,Beli Banyak Lebih Murah,Jawa Barat,Bandung,Bundling,Laksa,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,SEDAAP MIE CUP SINGAPORE SPICY LAKSA 86 GR,SKU-692115FC,5340,5340,Official Store,Shopee,Regular,5340,0.0,-,DKI Jakarta,Jakarta Timur,Satuan,Laksa,2026-05-01,2026-05-31,5,0.0002
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Kari Kental Special Bag 75 gr isi 40 (Kardus),SKU-95824EB9,120700,120700,Toko Grosir Sembako,Shopee,Wholesale Promo,120700,0.0,Harga Grosir,Jawa Barat,Bogor,Grosir,Kari,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,"mie sedaap dengan 12 variant, BELI 1 PCS BISA COD",SKU-5B76109E,4250,4250,Retail Express,Shopee,Regular,4250,0.0,-,Jawa Tengah,Magelang,Satuan,Lainnya / Mix,2026-05-01,2026-05-31,1000,0.0333
2026-05-29,Wings,Wings Group,Sedaap Mie Instan White Curry Bag 81 gr x5,SKU-C6379481,15400,15400,Toko Kelontong Digital,Shopee,Bundling Promo,15400,0.0,Beli Banyak Lebih Murah,Jawa Timur,Surabaya,Bundling,Kari,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Bakar Limau Bag 89 gr x5,SKU-802986E6,16300,16300,Mitra Distributor,Shopee,Bundling Promo,16300,0.0,Beli Banyak Lebih Murah,Banten,Tangerang Selatan,Bundling,Lainnya / Mix,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Korean Spicy Chicken Bag 87 gr isi 40 (Kardus),SKU-9F51C4F1,128200,128200,Toko Grosir Sembako,Shopee,Wholesale Promo,128200,0.0,Harga Grosir,Jawa Barat,Depok,Grosir,Spicy / Korean,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Mie Sedaap Soto 75 gr isi 5 + Mie Sedaap Goreng 90 gr isi 5,SKU-F1CD1C8C,29700,29700,Toko Grosir Sembako,Shopee,Bundling Promo,29700,0.0,Beli Banyak Lebih Murah,Jawa Barat,Depok,Bundling,Soto,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Jerit 77 gr x5,SKU-51F476EF,15400,15400,Mitra Distributor,Shopee,Bundling Promo,15400,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Timur,Bundling,Lainnya / Mix,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Bakar Limau Bag 89 gr Carton (40 pcs),SKU-8E6E2733,128300,128300,Mitra Distributor,Shopee,Wholesale Promo,128300,0.0,Harga Grosir,Jawa Barat,Bekasi,Grosir,Lainnya / Mix,2026-05-01,2026-05-31,55,0.0018
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Bawang Bag 71 gr isi 40 (Kardus),SKU-2759654A,105600,105600,Toko Kelontong Digital,Shopee,Wholesale Promo,105600,0.0,Harga Grosir,Jawa Timur,Surabaya,Grosir,Ayam Bawang,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Mie Sedaap Ramen Yes Bundling [promo beli 2 gratis 1],SKU-164D412B,10500,10500,Mitra Distributor,Shopee,Bundling Promo,10500,0.0,Beli Banyak Lebih Murah,Jawa Barat,Bogor,Bundling,Lainnya / Mix,2026-05-01,2026-05-31,26,0.0009
