scrape_date,company,brand,product_name,sku_id,pack_size,original_price,final_price,discount_pct,retailer,platform,province,city,promo_type,promo_text,variant,flavor,offer_structure,promo_start,promo_end,sales_volume,revenue,total_weight_g,unit_quantity,price_per_100g,price_flag
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng X 40,SKU-2FE9A681,90g,128200,128200,0.0,Mitra Distributor,Shopee,Jawa Barat,Bekasi,No Promo,,Goreng,,Multipack,,,191,24486200,90.0,1,142444.44444444444,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Soto,SKU-6EC76B41,81g,52100,52100,0.0,Supermarket Online,Shopee,DKI Jakarta,Jakarta Timur,No Promo,,Soto,,Multipack,,,234,12191400,81.0,1,64320.98765432099,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Ala Chef,SKU-22E54812,93g,128300,128300,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Timur,No Promo,,Goreng,,Multipack,,,78,10007400,93.0,1,137956.9892473118,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Bakso Spesial,SKU-07169ED3,77g,52100,52100,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Pusat,No Promo,,Kuah,Bakso Spesial,Multipack,,,158,8231800,77.0,1,67662.33766233767,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-3E74BA4D,72g,23000,23000,0.0,Toko Grosir Sembako,Shopee,DKI Jakarta,Jakarta Barat,No Promo,,Goreng,,Multipack,,,210,4830000,72.0,1,31944.444444444445,True
2026-05-29,Wings Group,Mie Sedaap,1 Karton Mie Sedaap X 40 Prla Mie Sedap,SKU-3BF3F7F1,75g,122290,122290,0.0,Retail Express,Shopee,DKI Jakarta,Jakarta Barat,Bundling,Beli Banyak Lebih Murah,,,Multipack,2026-05-01,2026-05-31,219,26781510,75.0,1,163053.33333333334,True
2026-05-29,Wings Group,Mie Sedaap,Mie Mie Sedaap Korean Spicy Soup,SKU-97B609D8,77g,49700,49700,0.0,Toko Kelontong Digital,Shopee,Jawa Barat,Depok,No Promo,,Korean,Spicy Soup,Multipack,,,241,11977700,77.0,1,64545.45454545455,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Korean Spicy Chicken Free Pop Socket + Phone Strap,SKU-65B5CB04,87g,69400,69400,0.0,Toko Kelontong Digital,Shopee,Jawa Timur,Sidoarjo,No Promo,,Korean,Spicy Chicken,Multipack,,,92,6384800,87.0,1,79770.11494252873,True
2026-05-29,Wings Group,Mie Sedaap,1 Mie Sedaap Goreng / Soto / Kari / Ayam Bawang - Dan,SKU-D22815D9,90g,147000,147000,0.0,Mitra Distributor,Shopee,Jawa Timur,Sidoarjo,No Promo,,Kari,,Multipack,,,181,26607000,90.0,1,163333.3333333333,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Selection Mie Singapore Spicy Laksa,SKU-7F322840,83g,49700,49700,0.0,Toko Kelontong Digital,Shopee,Jawa Barat,Bekasi,No Promo,,Laksa,Singapore Spicy Laksa,Multipack,,,197,9790900,83.0,1,59879.51807228916,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng,SKU-9D93B4D8,90g,69400,69400,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Timur,No Promo,,Goreng,,Multipack,,,244,16933600,90.0,1,77111.11111111111,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Kari Mercon,SKU-7A28BBB8,79g,52100,52100,0.0,Supermarket Online,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,,Kari,Kari Mercon,Multipack,,,242,12608200,79.0,1,65949.3670886076,True
2026-05-29,Wings Group,Mie Sedaap,Mie Mie Sedaap Kari Ayam,SKU-BE1BF873,72g,49700,49700,0.0,Mitra Distributor,Shopee,Jawa Barat,Bekasi,No Promo,,Kari,Kari Ayam,Multipack,,,190,9443000,72.0,1,69027.77777777778,True
2026-05-29,Wings Group,Mie Sedaap,Sedaap Mi Kuah Soto Isi @ Karton,SKU-A0F22E6A,5 x 75g,122780,122780,0.0,Toko Kelontong Digital,Shopee,Jawa Timur,Surabaya,No Promo,,Soto,,Multipack,,,110,13505800,375.0,5,32741.333333333336,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Ayam Bawang,SKU-7509C14E,71g,121200,121200,0.0,Toko Kelontong Digital,Shopee,DKI Jakarta,Jakarta Selatan,No Promo,,Kuah,Ayam Bawang,Multipack,,,51,6181200,71.0,1,170704.22535211267,True
2026-05-29,Wings Group,Mie Sedaap,Sedap Mie 1Dus Dan,SKU-1DDDF12B,85g,160000,160000,0.0,Mitra Distributor,Shopee,Jawa Tengah,Semarang,No Promo,,,,Multipack,,,134,21440000,85.0,1,188235.29411764705,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Salero Padang,SKU-3207ADD5,86g,128200,128200,0.0,Toko Grosir Sembako,Shopee,Jawa Tengah,Semarang,No Promo,,Goreng,Salero Padang,Multipack,,,136,17435200,86.0,1,149069.76744186046,True
2026-05-29,Wings Group,Mie Sedaap,Mie Mie Sedaap Soto Madura,SKU-CD689A70,82g,49700,49700,0.0,Official Store,Shopee,Jawa Barat,Bandung,No Promo,,Soto,Soto Madura,Multipack,,,99,4920300,82.0,1,60609.75609756098,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Soto,SKU-AE425DD7,75g,120700,120700,0.0,Mitra Distributor,Shopee,DKI Jakarta,Jakarta Barat,No Promo,,Soto,,Multipack,,,186,22450200,75.0,1,160933.3333333333,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Salero Padang X 5 – Mie Goreng Rendang Asli! | Sembako Express,SKU-3A7B567A,86g,21600,21600,0.0,Mitra Distributor,Shopee,Jawa Timur,Surabaya,No Promo,,Goreng,Salero Padang,Multipack,,,120,2592000,86.0,1,25116.279069767443,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Ayam Nampool,SKU-7D898F65,75g,50900,50900,0.0,Toko Kelontong Digital,Shopee,Jawa Barat,Bogor,No Promo,,,,Multipack,,,79,4021100,75.0,1,67866.66666666666,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Karton Mie Sedaap,SKU-2E9715DD,90g,137900,137900,0.0,Toko Grosir Sembako,Shopee,Jawa Timur,Sidoarjo,No Promo,,Goreng,,Multipack,,,106,14617400,90.0,1,153222.22222222222,True
2026-05-29,Wings Group,Mie Sedaap,1 Mie Sedaap Cup Kuah,SKU-9897A44D,77g,56900,56900,0.0,Retail Express,Shopee,Jawa Timur,Sidoarjo,No Promo,,Kuah,,Multipack,,,177,10071300,77.0,1,73896.1038961039,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Cup Selection Korean Spicy Chicken /12Cup,SKU-ED91F3DD,85g,72000,72000,0.0,Retail Express,Shopee,Banten,Tangerang Selatan,No Promo,,Korean,Spicy Chicken,Multipack,,,159,11448000,85.0,1,84705.88235294117,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng & Kuah 1 Karton Pcs - All Varian,SKU-9977A0BB,40 pcs,131800,99,99.92,Mitra Distributor,Shopee,Jawa Tengah,Surakarta,Discount,Diskon Spesial,Goreng,,Multipack,2026-05-01,2026-05-31,2261,223839,3280.0,40,3.018292682926829,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Soto / Ayam Bawang Mie Kuah 1 Pc,SKU-73720178,40 pcs,143499,1000,99.3,Supermarket Online,Shopee,DKI Jakarta,Jakarta Pusat,Discount,Diskon Spesial,Kuah,Ayam Bawang,Multipack,2026-05-01,2026-05-31,2414,2414000,3280.0,40,30.48780487804878,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng - Hemat Ed Panjang,SKU-849DE6EF,10 x 90g,39350,200,99.49,Retail Express,Shopee,DKI Jakarta,Jakarta Selatan,Bundling,Beli Banyak Lebih Murah,Goreng,,Bundle,2026-05-01,2026-05-31,400,80000,900.0,10,22.22222222222222,True
2026-05-29,Wings Group,Mie Sedaap,Mie Sedaap Goreng Karton,SKU-8061D4C8,91g,135000,135000,0.0,Supermarket Online,Shopee,DKI Jakarta,Jakarta Barat,No Promo,,Goreng,,Multipack,,,245,33075000,91.0,1,148351.64835164836,True
